timestamp,cpu_percent,memory_rss_mb,open_fds,net_bytes_sent,net_bytes_recv
1773171399.239973,0.0,42.16,210,0,126
1773171399.3546,12.5,42.85,207,952,2175
1773171399.4820175,14.3,43.12,207,1936,3781
1773171399.5902336,12.5,43.13,207,2888,4911
1773171399.7191753,0.0,43.14,207,3570,6613
1773171399.8592408,11.2,43.16,207,4284,7967
1773171399.982903,0.0,43.16,207,5062,8699
1773171400.102314,12.5,43.16,207,5538,9957
1773171400.224004,0.0,43.19,207,6522,11087
1773171400.3359315,0.0,43.2,207,7236,12441
1773171400.4617758,0.0,43.21,207,7950,13507
1773171400.5799377,0.0,43.22,207,8664,14573
1773171400.6891253,0.0,43.23,207,9822,16207
1773171400.7973802,0.0,43.23,207,10060,16971
1773171400.9294703,0.0,43.23,207,10774,19977
1773171401.0478115,33.5,43.23,207,11726,21203
1773171401.1568344,0.0,43.24,206,12472,22795
1773171401.2879128,0.0,43.25,207,13424,23893
1773171401.406528,22.2,43.25,207,13662,24259
1773171401.5199466,0.0,43.25,207,13662,24625
1773171401.640581,12.5,43.25,207,14472,25926
1773171401.767727,0.0,43.25,207,15282,27120
1773171401.8902822,25.0,43.25,207,16124,28666
1773171402.014421,0.0,43.25,207,17346,29462
1773171402.13481,37.5,43.26,207,18156,31149
1773171402.2441032,0.0,43.26,207,18966,32515
1773171402.3555264,14.2,43.27,207,19776,34107
1773171402.4809053,0.0,43.27,207,20586,35472
1773171402.6004956,0.0,43.27,207,21860,37166
1773171402.707341,0.0,43.27,207,22510,38828
1773171402.8182478,0.0,43.28,207,23590,40148
1773171402.9263992,0.0,43.29,207,24130,41306
1773171403.0386074,0.0,43.29,207,24940,42642
1773171403.1755672,12.5,43.29,207,25750,44676
1773171403.2966185,0.0,43.29,207,26894,46618
1773171403.4048727,0.0,43.29,207,27640,49286
1773171403.5161924,28.7,43.3,207,28450,50898
1773171403.62481,0.0,43.3,207,28990,51694
1773171403.7500274,0.0,43.3,207,29768,53136
1773171403.8871138,12.5,43.3,207,30006,53963
1773171404.007325,11.1,43.3,207,30244,54566
1773171404.1179955,0.0,43.3,207,30244,54566
1773171404.2434127,0.0,43.3,207,30244,54771
1773171404.3630044,0.0,43.3,207,30244,54771
1773171404.476928,0.0,43.3,207,30688,57243
1773171404.5956671,0.0,43.3,207,31196,59506
1773171404.7090638,0.0,43.3,207,31196,59506
1773171404.8297217,0.0,43.3,207,31196,60133
1773171404.9527917,0.0,43.3,207,31672,60865
1773171405.0601356,12.5,43.31,207,31910,61887
1773171405.17211,0.0,43.32,207,32148,62572
1773171405.293449,0.0,43.32,207,32148,62682
1773171405.3999827,0.0,43.32,207,32148,62907
1773171405.5103133,0.0,43.32,207,32148,62907
1773171405.6361873,0.0,43.32,207,32418,63383
1773171405.7491045,12.5,43.32,207,32862,64010
1773171405.8805501,0.0,43.32,207,33132,65432
1773171405.9924037,12.5,43.32,207,33132,65432
1773171406.1191022,0.0,43.32,207,33132,66675
1773171406.2416763,12.5,43.32,207,33370,66826
1773171406.3566062,12.5,43.32,207,33814,67462
1773171406.475271,0.0,43.33,207,34496,69409
1773171406.589317,0.0,43.33,207,34496,69409
1773171406.712405,14.2,43.33,207,34734,69775
1773171406.8339398,0.0,43.33,207,34734,69987
1773171406.9439695,0.0,43.33,207,34734,69987
1773171407.066411,0.0,43.33,207,34734,69987
1773171407.1920965,11.1,43.33,207,34734,69987
1773171407.314524,12.5,43.33,207,34734,69987
1773171407.438529,0.0,43.33,207,34972,70353
1773171407.5450194,12.5,43.33,207,35448,71117
1773171407.6533155,0.0,43.33,207,35686,71451
1773171407.7633219,0.0,43.33,207,82682,74705
1773171407.8744278,0.0,43.33,207,83190,75817
1773171407.9855354,0.0,43.33,207,83190,75817
