timestamp,cpu_percent,memory_rss_mb,open_fds,net_bytes_sent,net_bytes_recv
1773290836.2557793,0.0,56.31,10,0,0
1773290836.356709,39.5,56.31,19,9470,6824
1773290836.4570935,39.7,56.31,23,20800,78356
1773290836.558228,29.8,56.32,27,27458,93227
1773290836.6586504,19.8,56.32,27,29785,124364
1773290836.7590082,10.0,56.32,31,32379,170918
1773290836.8594704,10.0,56.32,29,42067,208216
1773290836.9597976,19.9,56.32,30,51552,468479
1773290837.0601935,29.9,57.07,30,66911,1143435
1773290837.1609557,39.8,57.07,29,74905,1180070
1773290837.2614322,29.8,57.54,32,79798,1292921
1773290837.3618813,29.9,58.71,30,87995,1420996
1773290837.4627712,39.8,58.71,30,98977,1474733
1773290837.56394,39.6,58.71,30,108489,1634242
1773290837.6646714,49.4,58.71,32,112256,1701962
1773290837.7653923,49.7,58.71,30,119079,1723792
1773290837.8665953,29.8,58.71,30,125021,1775316
1773290837.9674635,69.2,58.81,31,132229,1865788
1773290838.0678384,19.8,58.81,29,141463,1942347
1773290838.169045,19.9,58.81,30,148837,2069410
1773290838.2695718,29.6,58.82,30,156723,2143916
1773290838.3700984,49.8,58.82,30,164626,2166435
1773290838.4710011,19.9,58.82,30,171356,2216587
1773290838.5714066,39.7,58.82,31,177740,2298252
1773290838.6718042,19.9,58.82,29,185682,2368576
1773290838.7729967,39.8,58.82,27,189733,2397050
1773290838.8742168,49.4,58.82,30,195227,2410027
1773290838.9825697,47.9,58.83,29,201132,2425771
1773290839.0858657,28.5,58.84,31,205136,2439560
1773290839.18706,48.4,58.84,29,209473,2463860
1773290839.2876227,19.8,58.84,31,213759,2504437
1773290839.3881836,39.8,58.84,30,219149,2523995
1773290839.490893,39.6,58.84,29,225313,2613862
1773290839.5914545,19.6,59.05,29,235846,2809972
1773290839.6925473,9.9,59.05,29,243786,2822309
1773290839.8034794,47.1,59.05,29,252782,2834150
1773290839.9046068,18.9,59.05,29,260146,2843749
1773290840.005211,39.6,59.05,29,266410,2852517
1773290840.106345,19.9,59.05,29,272834,2861358
1773290840.2067533,19.8,59.05,29,280314,2871845
1773290840.3078253,10.0,59.05,29,287410,2882076
1773290840.4083543,29.7,59.05,29,293748,2890487
1773290840.508769,0.0,59.05,29,300657,2900640
1773290840.6099162,29.9,59.05,29,305856,2906523
1773290840.7115588,39.5,59.05,30,308738,2916201
1773290840.81274,19.7,59.05,29,312783,2941227
1773290840.915704,19.8,59.05,29,313933,2947916
1773290841.0168629,29.1,59.05,31,315621,2953776
1773290841.118017,0.0,59.05,32,316230,2955035
1773290841.2242806,37.8,59.05,30,320589,2964959
1773290841.3263147,9.8,59.05,30,322259,2967709
1773290841.427485,29.4,59.05,30,324110,2977140
1773290841.5286586,19.8,59.05,30,324564,2979952
1773290841.6298206,29.7,59.05,30,327887,2985840
1773290841.7309794,9.9,59.05,30,329741,2991139
1773290841.83215,39.5,59.05,29,333045,3002754
1773290841.9333086,19.8,59.05,29,333970,3009857
1773290842.034465,9.9,59.05,29,334960,3010071
