timestamp,cpu_percent,memory_rss_mb,open_fds,net_bytes_sent,net_bytes_recv
1773187755.750863,0.0,172.48,8,0,0
1773187755.8514068,49.8,130.62,33,10125,9263
1773187755.9517362,69.6,130.62,57,42538,58472
1773187756.0523717,49.8,130.62,57,70790,238262
1773187756.1556017,58.5,130.62,60,96828,766825
1773187756.2588112,105.6,130.62,63,111368,1166442
1773187756.4059403,90.8,130.7,54,159975,1735470
1773187756.5080445,72.3,130.7,57,191304,1931666
1773187756.6085405,59.2,130.7,56,214403,2734816
1773187756.7108028,49.2,130.7,55,233463,2949790
1773187756.811155,49.5,130.7,57,258910,3143545
1773187756.93562,80.9,134.43,50,281945,3710957
1773187757.0416543,76.0,136.24,45,298482,4172104
1773187757.1422684,79.1,138.35,42,320216,4575952
1773187757.247423,58.1,142.1,41,336206,4964128
1773187757.3478057,48.9,142.1,44,350870,5276354
1773187757.6348088,39.4,166.87,48,371094,5639551
1773187757.7354012,80.6,166.87,53,382736,5705084
1773187757.8361409,39.8,166.87,50,388977,5760825
1773187757.9372556,29.8,166.87,53,397580,5784725
1773187758.0377045,59.4,166.88,57,410240,5827464
1773187758.1382666,39.8,166.88,56,422726,5854034
1773187758.2401097,49.4,166.88,58,439214,5915247
1773187758.340786,59.4,166.88,58,458259,6020708
1773187758.4414392,59.6,166.88,61,483306,6207396
1773187758.5417857,69.6,166.88,59,513621,6346472
1773187758.6423352,69.7,166.88,58,543245,6618356
1773187758.7515225,84.0,166.88,59,558730,6986701
1773187758.8536339,68.3,166.88,56,584734,7489040
1773187758.9557564,96.3,166.88,51,589889,7578489
1773187759.056371,59.8,166.88,54,621036,8028839
1773187759.15691,89.4,166.88,49,634699,8318114
1773187759.2573943,69.6,166.88,46,655070,8628481
1773187759.3689795,56.8,166.88,41,670658,9061106
1773187759.471804,73.6,166.88,37,687965,9501390
1773187759.5724,39.8,166.88,35,696066,9677377
1773187759.6886706,83.2,166.88,31,701534,9832197
1773187759.7890465,27.6,166.88,28,707385,9989800
1773187759.891744,49.8,166.88,27,713812,10325983
1773187760.0484774,97.7,185.12,27,717628,10779494
1773187760.1490562,29.3,185.12,26,718499,10780595
1773187760.2501695,0.0,185.12,26,718499,10780666
1773187760.3506389,0.0,185.12,26,718541,10780726
1773187760.451754,0.0,185.12,26,718607,10780792
1773187760.5578673,9.4,185.12,27,718748,10781516
1773187760.6589177,0.0,185.12,27,719045,10781666
1773187760.7600422,0.0,185.12,26,719139,10781808
1773187760.8611534,0.0,185.12,26,719139,10781808
1773187760.9622526,0.0,185.12,26,719383,10781808
1773187761.0633826,9.9,185.12,25,720183,10839915
1773187761.1645052,9.9,185.12,25,720269,10839993
1773187761.2656624,0.0,185.12,25,720346,10840145
1773187761.3668165,0.0,185.12,25,720412,10840399
1773187761.4680269,9.9,185.12,23,720664,10840891
1773187761.5691533,0.0,185.12,23,720738,10840891
1773187761.6703265,0.0,185.12,23,720738,10840891
1773187761.7714732,0.0,185.12,23,720804,10840951
1773187761.8726213,9.9,185.12,23,721064,10841262
1773187761.973232,0.0,185.12,23,721064,10841326
1773187762.074375,0.0,185.12,21,721779,10841400
1773187762.175509,0.0,185.12,21,721779,10841400
1773187762.2759347,9.9,185.12,21,722615,10844908
1773187762.377043,0.0,185.12,21,722681,10844968
1773187762.4775503,0.0,185.12,21,723134,10845822
1773187762.5786862,0.0,185.12,21,723266,10846295
1773187762.6798522,0.0,185.12,21,723926,10846361
1773187762.7809904,0.0,185.12,21,724434,10849857
1773187762.8816183,0.0,185.12,20,724605,10849857
1773187762.9827478,0.0,185.12,20,724671,10850094
1773187763.0838828,9.9,185.12,20,724671,10850154
1773187763.1850114,0.0,185.12,20,724671,10850274
1773187763.2861228,0.0,185.12,20,724671,10850274
1773187763.3872697,9.9,185.12,20,725001,10865414
1773187763.488407,0.0,185.12,20,725001,10865537
1773187763.5889976,9.9,185.12,20,725133,10870188
1773187763.6901126,0.0,185.12,20,725328,10870439
1773187763.7905447,0.0,185.12,20,725328,10870613
1773187763.891735,0.0,185.12,20,725394,10870613
1773187763.9929173,0.0,185.12,20,725394,10870613
1773187764.09411,0.0,185.12,20,725394,10870613
1773187764.1978493,0.0,185.12,18,725460,10870715
1773187764.2990522,9.7,185.12,18,725460,10870715
